BizID,Total_Premium,Total_Allocated,Total_Shortfall,Num_Premiums,Num_Paid,Num_Unpaid,Payment_Status
20028485,12000.0,0.0,12000.0,10,0,10,Not Paid
20006909,7200.0,0.0,7200.0,6,0,6,Not Paid
20036787,4800.0,2400.0,2400.0,2,1,1,Partially Paid
20025245,4800.0,2400.0,2400.0,2,1,1,Partially Paid
20013986,4800.0,4800.0,0.0,2,2,0,Fully Paid
20026101,4800.0,3600.0,1200.0,4,3,1,Partially Paid
20038098,4800.0,2400.0,2400.0,4,2,2,Partially Paid
20011890,4800.0,0.0,4800.0,1,0,1,Not Paid
20009958,4800.0,0.0,4800.0,2,0,2,Not Paid
20001893,4800.0,4800.0,0.0,4,4,0,Fully Paid
2015,3600.0,0.0,3600.0,3,0,3,Not Paid
20029470,3600.0,2400.0,1200.0,3,2,1,Partially Paid
20034829,3600.0,1200.0,2400.0,3,1,2,Partially Paid
2159,3600.0,0.0,3600.0,3,0,3,Not Paid
20003479,3600.0,2400.0,1200.0,3,2,1,Partially Paid
16065,2925.0,2925.0,0.0,1,1,0,Fully Paid
10276,2400.0,0.0,2400.0,2,0,2,Not Paid
10341,2400.0,0.0,2400.0,2,0,2,Not Paid
4450,2400.0,1200.0,1200.0,2,1,1,Partially Paid
12484,2400.0,2400.0,0.0,2,2,0,Fully Paid
3528,2400.0,2400.0,0.0,2,2,0,Fully Paid
20003547,2400.0,2400.0,0.0,1,1,0,Fully Paid
20002919,2400.0,2400.0,0.0,1,1,0,Fully Paid
20002827,2400.0,1200.0,1200.0,2,1,1,Partially Paid
10310,2400.0,1200.0,1200.0,2,1,1,Partially Paid
20001757,2400.0,1200.0,1200.0,2,1,1,Partially Paid
20003790,2400.0,2400.0,0.0,1,1,0,Fully Paid
20017223,2400.0,1200.0,1200.0,2,1,1,Partially Paid
20015149,2400.0,1200.0,1200.0,2,1,1,Partially Paid
20019327,2400.0,1200.0,1200.0,2,1,1,Partially Paid
20019480,2400.0,1200.0,1200.0,2,1,1,Partially Paid
20019530,2400.0,2400.0,0.0,2,2,0,Fully Paid
20018760,2400.0,2400.0,0.0,1,1,0,Fully Paid
20017395,2400.0,0.0,2400.0,1,0,1,Not Paid
