ID,ReconDate,Amount,BizID,PaymentID,AllocatedAmount,PremiumIDs_Covered,FullyUtilized,RemainingAmount
0,2026-01-23,1027.0,20017959,PAY_00000,0.0,,False,1027.0
5,2026-01-23,0.98,20028485,PAY_00005,0.0,,False,0.98
6,2026-01-23,0.97,20038171,PAY_00006,0.0,,False,0.97
11,2026-01-24,1950.0,16065,PAY_00011,0.0,,False,1950.0
16,2026-01-26,3412.5,16065,PAY_00016,0.0,,False,3412.5
18,2026-01-27,450.0,22282,PAY_00018,0.0,,False,450.0
20,2026-01-27,978.0,10276,PAY_00020,0.0,,False,978.0
21,2026-01-27,5.41,21979,PAY_00021,0.0,,False,5.41
23,2026-01-28,1193.2,20030887,PAY_00023,0.0,,False,1193.2
26,2026-01-28,607.6,10341,PAY_00026,0.0,,False,607.6
27,2026-01-28,1950.0,16065,PAY_00027,0.0,,False,1950.0
28,2026-01-28,10.28,21979,PAY_00028,0.0,,False,10.28
29,2026-01-29,222.0,10276,PAY_00029,0.0,,False,222.0
42,2026-01-30,292.5,2015,PAY_00042,0.0,,False,292.5
44,2026-01-30,28275.0,16065,PAY_00044,0.0,,False,28275.0
89,2026-01-02,392.0,5537,PAY_00089,0.0,,False,392.0
90,2026-01-02,243.75,7547,PAY_00090,0.0,,False,243.75
91,2026-01-02,965.25,12268,PAY_00091,0.0,,False,965.25
94,2026-01-02,388.0,20035124,PAY_00094,0.0,,False,388.0
95,2026-01-02,491.0,20037160,PAY_00095,0.0,,False,491.0
98,2026-02-02,234.75,12268,PAY_00098,0.0,,False,234.75
166,2026-02-02,364.45,18692,PAY_00166,0.0,,False,364.45
167,2026-02-02,637.0,6902,PAY_00167,0.0,,False,637.0
168,2026-02-02,4875.0,16065,PAY_00168,0.0,,False,4875.0
171,2026-03-02,218.01,20037160,PAY_00171,0.0,,False,218.01
219,2026-03-02,292.5,7547,PAY_00219,0.0,,False,292.5
221,2026-03-02,8190.0,16065,PAY_00221,0.0,,False,8190.0
222,2026-03-02,2189.85,20009958,PAY_00222,0.0,,False,2189.85
223,2026-03-02,441.0,20017114,PAY_00223,0.0,,False,441.0
224,2026-03-02,686.0,20029224,PAY_00224,0.0,,False,686.0
225,2026-04-02,514.0,20029224,PAY_00225,0.0,,False,514.0
245,2026-04-02,5557.5,16065,PAY_00245,0.0,,False,5557.5
246,2026-04-02,736.87,20011890,PAY_00246,0.0,,False,736.87
247,2026-04-02,0.01,20025987,PAY_00247,0.0,,False,0.01
248,2026-04-02,97.0,20034694,PAY_00248,0.0,,False,97.0
266,2026-05-02,4063.14,20011890,PAY_00266,0.0,,False,4063.14
269,2026-05-02,195.0,20036208,PAY_00269,0.0,,False,195.0
270,2026-06-02,420.0,7547,PAY_00270,0.0,,False,420.0
271,2026-06-02,759.0,20017114,PAY_00271,0.0,,False,759.0
287,2026-06-02,392.0,6902,PAY_00287,0.0,,False,392.0
288,2026-06-02,975.0,13175,PAY_00288,0.0,,False,975.0
289,2026-06-02,4387.5,16065,PAY_00289,0.0,,False,4387.5
290,2026-06-02,1960.0,20017395,PAY_00290,0.0,,False,1960.0
291,2026-06-02,490.0,20032792,PAY_00291,0.0,,False,490.0
292,2026-06-02,0.01,20038777,PAY_00292,0.0,,False,0.01
293,2026-07-02,440.0,20017395,PAY_00293,0.0,,False,440.0
295,2026-07-02,710.0,20032792,PAY_00295,0.0,,False,710.0
296,2026-07-02,1005.0,20036208,PAY_00296,0.0,,False,1005.0
309,2026-07-02,0.97,2159,PAY_00309,0.0,,False,0.97
310,2026-07-02,0.97,2239,PAY_00310,0.0,,False,0.97
311,2026-07-02,4875.0,16065,PAY_00311,0.0,,False,4875.0
312,2026-07-02,0.98,20006909,PAY_00312,0.0,,False,0.98
313,2026-07-02,243.75,20024609,PAY_00313,0.0,,False,243.75
314,2026-07-02,1019.2,20031919,PAY_00314,0.0,,False,1019.2
315,2026-08-02,225.0,13175,PAY_00315,0.0,,False,225.0
316,2026-08-02,956.25,20024609,PAY_00316,0.0,,False,956.25
320,2026-08-02,12814.27,16065,PAY_00320,0.0,,False,12814.27
