ReconDate,BizID,Amount,PremiumID,AllocatedAmount,PaymentIDs_Used,Status,Shortfall
2025-11-30,2159,1200.0,PREM_00001,0.0,,Unpaid,1200.0
2025-12-31,2159,1200.0,PREM_00002,0.0,,Unpaid,1200.0
2025-11-30,20029470,1200.0,PREM_00003,1200.0,PAY_00015,Fully Paid,0.0
2025-12-31,20029470,1200.0,PREM_00004,1200.0,PAY_00015,Fully Paid,0.0
2025-04-30,20028485,1200.0,PREM_00005,0.0,,Unpaid,1200.0
2025-05-31,20028485,1200.0,PREM_00006,0.0,,Unpaid,1200.0
2025-06-30,20028485,1200.0,PREM_00007,0.0,,Unpaid,1200.0
2025-07-31,20028485,1200.0,PREM_00008,0.0,,Unpaid,1200.0
2025-08-31,20006909,1200.0,PREM_00009,0.0,,Unpaid,1200.0
2025-08-31,20028485,1200.0,PREM_00010,0.0,,Unpaid,1200.0
2025-09-30,20006909,1200.0,PREM_00011,0.0,,Unpaid,1200.0
2025-09-30,20028485,1200.0,PREM_00012,0.0,,Unpaid,1200.0
2025-10-31,20001893,1200.0,PREM_00013,1200.0,PAY_00034,Fully Paid,0.0
2025-10-31,20006909,1200.0,PREM_00014,0.0,,Unpaid,1200.0
2025-10-31,20028485,1200.0,PREM_00015,0.0,,Unpaid,1200.0
2025-10-31,20026101,1200.0,PREM_00016,1200.0,PAY_00025,Fully Paid,0.0
2025-10-31,20038098,1200.0,PREM_00017,1200.0,PAY_00002,Fully Paid,0.0
2025-11-30,2015,1200.0,PREM_00018,0.0,,Unpaid,1200.0
2025-11-30,20001893,1200.0,PREM_00019,1200.0,PAY_00034,Fully Paid,0.0
2025-11-30,20006909,1200.0,PREM_00020,0.0,,Unpaid,1200.0
2025-11-30,20026101,1200.0,PREM_00021,1200.0,PAY_00025,Fully Paid,0.0
2025-11-30,20028485,1200.0,PREM_00022,0.0,,Unpaid,1200.0
2025-11-30,20038098,1200.0,PREM_00023,1200.0,PAY_00002,Fully Paid,0.0
2025-11-30,20002827,1200.0,PREM_00024,1200.0,PAY_00251,Fully Paid,0.0
2025-11-30,20009083,1200.0,PREM_00025,1200.0,PAY_00193,Fully Paid,0.0
2025-11-30,20015343,1200.0,PREM_00026,1200.0,PAY_00235,Fully Paid,0.0
2025-11-30,20028522,1200.0,PREM_00027,1200.0,PAY_00242,Fully Paid,0.0
2025-11-30,20034829,1200.0,PREM_00028,1200.0,PAY_00038,Fully Paid,0.0
2025-11-30,20003479,1200.0,PREM_00029,1200.0,PAY_00285,Fully Paid,0.0
2025-11-30,20016043,600.0,PREM_00030,600.0,PAY_00236,Fully Paid,0.0
2025-12-31,16065,2925.0,PREM_00031,2925.0,PAY_00092,Fully Paid,0.0
2025-12-31,20013986,2400.0,PREM_00032,2400.0,PAY_00040,Fully Paid,0.0
2025-12-31,20025245,2400.0,PREM_00033,2400.0,PAY_00033,Fully Paid,0.0
2025-12-31,2015,1200.0,PREM_00034,0.0,,Unpaid,1200.0
2025-12-31,2931,1200.0,PREM_00035,1200.0,PAY_00001,Fully Paid,0.0
2025-12-31,3528,1200.0,PREM_00036,1200.0,PAY_00086,Fully Paid,0.0
2025-12-31,10276,1200.0,PREM_00037,0.0,,Unpaid,1200.0
2025-12-31,10341,1200.0,PREM_00038,0.0,,Unpaid,1200.0
2025-12-31,12484,1200.0,PREM_00039,1200.0,PAY_00008,Fully Paid,0.0
2025-12-31,13162,1200.0,PREM_00040,1200.0,PAY_00083,Fully Paid,0.0
2025-12-31,24038,1200.0,PREM_00041,1200.0,PAY_00045,Fully Paid,0.0
2025-12-31,20001893,1200.0,PREM_00042,1200.0,PAY_00034,Fully Paid,0.0
2025-12-31,20003479,1200.0,PREM_00043,1200.0,PAY_00285,Fully Paid,0.0
2025-12-31,20006310,1200.0,PREM_00044,1200.0,PAY_00046,Fully Paid,0.0
2025-12-31,20006909,1200.0,PREM_00045,0.0,,Unpaid,1200.0
2025-12-31,20015149,1200.0,PREM_00046,1200.0,PAY_00024,Fully Paid,0.0
2025-12-31,20019530,1200.0,PREM_00047,1200.0,PAY_00031,Fully Paid,0.0
2025-12-31,20022037,1200.0,PREM_00048,1200.0,PAY_00093,Fully Paid,0.0
2025-12-31,20023605,1200.0,PREM_00049,1200.0,PAY_00019,Fully Paid,0.0
2025-12-31,20024710,1200.0,PREM_00050,1200.0,PAY_00032,Fully Paid,0.0
2025-12-31,20026101,1200.0,PREM_00051,1200.0,PAY_00108,Fully Paid,0.0
2025-12-31,20028485,1200.0,PREM_00052,0.0,,Unpaid,1200.0
2025-12-31,20034829,1200.0,PREM_00053,0.0,,Unpaid,1200.0
2025-12-31,20036404,1200.0,PREM_00054,1200.0,PAY_00214,Fully Paid,0.0
2025-12-31,20038098,1200.0,PREM_00055,0.0,,Unpaid,1200.0
2025-12-31,20038171,1200.0,PREM_00056,1200.0,PAY_00007,Fully Paid,0.0
2025-12-31,19239,600.0,PREM_00057,600.0,PAY_00030,Fully Paid,0.0
2025-12-31,20016043,600.0,PREM_00058,600.0,PAY_00236,Fully Paid,0.0
2025-12-31,18331,561.7,PREM_00059,561.7,PAY_00308,Fully Paid,0.0
2025-12-31,7547,1200.0,PREM_00060,0.0,,Unpaid,1200.0
2025-12-31,20001757,1200.0,PREM_00061,1200.0,PAY_00118,Fully Paid,0.0
2025-12-31,20009958,2400.0,PREM_00062,0.0,,Unpaid,2400.0
2025-12-31,20019327,1200.0,PREM_00063,1200.0,PAY_00202,Fully Paid,0.0
2025-12-31,20019480,1200.0,PREM_00064,1200.0,PAY_00061,Fully Paid,0.0
2025-12-31,20022909,1200.0,PREM_00065,1200.0,PAY_00136,Fully Paid,0.0
2025-12-31,20028132,1200.0,PREM_00066,1200.0,PAY_00145,Fully Paid,0.0
2025-12-31,20034353,1200.0,PREM_00067,1200.0,PAY_00162,Fully Paid,0.0
2025-12-31,20034561,1200.0,PREM_00068,1200.0,PAY_00147,Fully Paid,0.0
2025-12-31,20036208,1200.0,PREM_00069,0.0,,Unpaid,1200.0
2025-12-31,20036787,2400.0,PREM_00070,2400.0,PAY_00163,Fully Paid,0.0
2025-12-31,20038101,1200.0,PREM_00071,1200.0,PAY_00150,Fully Paid,0.0
2025-12-31,2162,1200.0,PREM_00072,1200.0,PAY_00227,Fully Paid,0.0
2025-12-31,4450,1200.0,PREM_00073,1200.0,PAY_00039,Fully Paid,0.0
2025-12-31,10310,1200.0,PREM_00074,1200.0,PAY_00114,Fully Paid,0.0
2025-12-31,21979,1200.0,PREM_00075,0.0,,Unpaid,1200.0
2025-12-31,20012026,1200.0,PREM_00076,1200.0,PAY_00126,Fully Paid,0.0
2025-12-31,20017223,1200.0,PREM_00077,1200.0,PAY_00198,Fully Paid,0.0
2025-11-30,20017526,1200.0,PREM_00078,1200.0,PAY_00130,Fully Paid,0.0
2025-12-31,20023111,1200.0,PREM_00079,1200.0,PAY_00104,Fully Paid,0.0
2025-12-31,20023705,1200.0,PREM_00080,1200.0,PAY_00204,Fully Paid,0.0
2025-12-31,20026274,1200.0,PREM_00081,1200.0,PAY_00142,Fully Paid,0.0
2026-01-31,20011890,4800.0,PREM_00082,0.0,,Unpaid,4800.0
2026-01-31,20001720,2400.0,PREM_00083,2400.0,PAY_00164,Fully Paid,0.0
2026-01-31,20002919,2400.0,PREM_00084,2400.0,PAY_00212,Fully Paid,0.0
2026-01-31,20003547,2400.0,PREM_00085,2400.0,PAY_00085,Fully Paid,0.0
2026-01-31,20003790,2400.0,PREM_00086,2400.0,PAY_00215,Fully Paid,0.0
